date,number_of_lines,author,revision
"2015-11-27 16:57:44 +0000 (Fri, 27 Nov 2015)",line,Thomas,r1551925
"2015-11-27 09:46:32 +0000 (Fri, 27 Nov 2015)",line,Thomas,r1551575
"2015-11-27 09:38:09 +0000 (Fri, 27 Nov 2015)",line,Vincent,r1551569
"2015-11-27 09:13:26 +0000 (Fri, 27 Nov 2015)",line,Thomas,r1551558
"2015-11-27 07:05:41 +0000 (Fri, 27 Nov 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1551504
"2015-11-27 06:10:10 +0000 (Fri, 27 Nov 2015)",line,Vincent,r1551486
"2015-11-27 06:06:30 +0000 (Fri, 27 Nov 2015)",line,Vincent,r1551485
"2015-11-26 15:01:51 +0000 (Thu, 26 Nov 2015)",line,Vincent,r1551375
"2015-11-26 14:35:32 +0000 (Thu, 26 Nov 2015)",line,Vincent,r1551347
"2015-11-26 14:20:12 +0000 (Thu, 26 Nov 2015)",line,Vincent,r1551334
"2015-11-26 14:17:48 +0000 (Thu, 26 Nov 2015)",lines,Vincent,r1551332
"2015-11-26 13:58:15 +0000 (Thu, 26 Nov 2015)",lines,Vincent,r1551313
"2015-11-26 13:48:29 +0000 (Thu, 26 Nov 2015)",line,Thomas,r1551307
"2015-11-26 13:30:16 +0000 (Thu, 26 Nov 2015)",lines,Vincent,r1551294
"2015-11-26 12:16:06 +0000 (Thu, 26 Nov 2015)",lines,Vincent,r1551249
"2015-11-26 12:15:26 +0000 (Thu, 26 Nov 2015)",lines,Vincent,r1551248
"2015-11-26 09:17:08 +0000 (Thu, 26 Nov 2015)",line,Thomas,r1551105
"2015-11-26 07:33:33 +0000 (Thu, 26 Nov 2015)",lines,Vincent,r1551061
"2015-11-25 16:42:06 +0000 (Wed, 25 Nov 2015)",line,Thomas,r1550863
"2015-11-25 14:17:42 +0000 (Wed, 25 Nov 2015)",line,Thomas,r1550724
"2015-11-25 11:29:15 +0000 (Wed, 25 Nov 2015)",lines,Thomas,r1550591
"2015-11-25 11:15:27 +0000 (Wed, 25 Nov 2015)",line,Thomas,r1550580
"2015-11-25 09:26:22 +0000 (Wed, 25 Nov 2015)",line,Thomas,r1550503
"2015-11-24 14:41:53 +0000 (Tue, 24 Nov 2015)",lines,Vincent,r1550097
"2015-11-24 14:28:19 +0000 (Tue, 24 Nov 2015)",lines,Thomas,r1550089
"2015-11-24 13:58:25 +0000 (Tue, 24 Nov 2015)",lines,Vincent,r1550060
"2015-11-24 13:42:26 +0000 (Tue, 24 Nov 2015)",lines,Vincent,r1550046
"2015-11-23 16:32:45 +0000 (Mon, 23 Nov 2015)",line,Thomas,r1549398
"2015-11-23 15:34:21 +0000 (Mon, 23 Nov 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1549355
"2015-11-23 15:20:49 +0000 (Mon, 23 Nov 2015)",line,Thomas,r1549331
"2015-11-23 15:02:18 +0000 (Mon, 23 Nov 2015)",lines,Jimmy,r1549294
"2015-11-23 11:46:06 +0000 (Mon, 23 Nov 2015)",line,Thomas,r1549111
"2015-11-23 05:50:12 +0000 (Mon, 23 Nov 2015)",lines,Vincent,r1548946
"2015-11-20 16:36:17 +0000 (Fri, 20 Nov 2015)",line,Thomas,r1548632
"2015-11-20 15:43:36 +0000 (Fri, 20 Nov 2015)",line,Thomas,r1548595
"2015-11-20 13:06:04 +0000 (Fri, 20 Nov 2015)",line,Thomas,r1548398
"2015-11-20 12:57:08 +0000 (Fri, 20 Nov 2015)",line,Thomas,r1548384
"2015-11-20 12:42:14 +0000 (Fri, 20 Nov 2015)",lines,Thomas,r1548364
"2015-11-20 12:40:31 +0000 (Fri, 20 Nov 2015)",lines,Thomas,r1548358
"2015-11-20 12:39:03 +0000 (Fri, 20 Nov 2015)",lines,Thomas,r1548357
"2015-11-20 12:37:26 +0000 (Fri, 20 Nov 2015)",lines,Thomas,r1548355
"2015-11-20 12:35:47 +0000 (Fri, 20 Nov 2015)",lines,Thomas,r1548352
"2015-11-20 12:33:51 +0000 (Fri, 20 Nov 2015)",lines,Thomas,r1548350
"2015-11-20 12:28:01 +0000 (Fri, 20 Nov 2015)",lines,Thomas,r1548342
"2015-11-20 12:26:32 +0000 (Fri, 20 Nov 2015)",lines,Thomas,r1548336
"2015-11-19 16:41:58 +0000 (Thu, 19 Nov 2015)",line,/OU=Domain Control Validated/CN=svn.company.net,r1547894
"2015-11-19 13:53:23 +0000 (Thu, 19 Nov 2015)",lines,Freddie,r1547749
"2015-11-19 13:51:15 +0000 (Thu, 19 Nov 2015)",line,Jimmy,r1547748
"2015-11-19 13:35:41 +0000 (Thu, 19 Nov 2015)",line,Jimmy,r1547738
"2015-11-19 12:26:49 +0000 (Thu, 19 Nov 2015)",line,Jimmy,r1547683
